schema_name,table_name,index_name,type_desc,is_unique,is_primary_key,is_unique_constraint,key_ordinal,column_name,is_included_column
dbo,POINT,IX_POINT,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,POINT,PK_POINT,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,POINT_LINK,IX_POINT_LINK,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,POINT_LINK,IX_POINT_LINK,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,POINT_LINK,IX_POINT_LINK,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,POINT_LINK,IX_POINT_LINK,NONCLUSTERED,1,0,1,4,POINT_LINK,0
dbo,POINT_LINK,PK_POINT_LINK,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,PROJECT,IX_PROJECT,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,PROJECT,IX_PROJECT,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,PROJECT,PK_PROJECT,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,PROJECT_LINK,IX_PROJECT_LINK,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,PROJECT_LINK,IX_PROJECT_LINK,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,PROJECT_LINK,IX_PROJECT_LINK,CLUSTERED,1,0,1,3,PROJ_LINK,0
dbo,PROJECT_LINK,IX_PROJECT_LINK_LINK,NONCLUSTERED,0,0,0,1,CLNT_ID,0
dbo,PROJECT_LINK,IX_PROJECT_LINK_LINK,NONCLUSTERED,0,0,0,2,PROJ_LINK,0
dbo,PROJECT_LINK,PK_PROJECT_LINK,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,Rig,IX_Rig,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Rig,IX_Rig,NONCLUSTERED,1,0,1,2,VALUE,0
dbo,Rig,PK_Rig,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,SAMPLE,IX_SAMPLE,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,SAMPLE,IX_SAMPLE,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,SAMPLE,IX_SAMPLE,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,SAMPLE,IX_SAMPLE,NONCLUSTERED,1,0,1,4,SAMPLE_TOP,0
dbo,SAMPLE,IX_SAMPLE,NONCLUSTERED,1,0,1,5,SAMPLE_REFERENCE,0
dbo,SAMPLE,IX_SAMPLE,NONCLUSTERED,1,0,1,6,SAMPLE_TYPE,0
dbo,SAMPLE,IX_SAMPLE_SAMPLEID,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,SAMPLE,IX_SAMPLE_SAMPLEID,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,SAMPLE,IX_SAMPLE_SAMPLEID,NONCLUSTERED,1,0,1,3,SAMPLE_ID,0
dbo,SAMPLE,PK_SAMPLE,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,SiteRecords,IX_SiteRecords,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,SiteRecords,IX_SiteRecords,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,SiteRecords,IX_SiteRecords,CLUSTERED,1,0,1,3,DATE,0
dbo,SiteRecords,IX_SiteRecords,CLUSTERED,1,0,1,4,RIG,0
dbo,SiteRecords,PK_SiteRecords,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,4,SAMPLE_TOP,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,5,SAMPLE_REFERENCE,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,6,SAMPLE_TYPE,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,7,SPECIMEN_TOP,0
dbo,SPECIMEN,IX_SPECIMEN,NONCLUSTERED,1,0,1,8,SPECIMEN_REFERENCE,0
dbo,SPECIMEN,IX_SPECIMEN_SAMPLEID,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,SPECIMEN,IX_SPECIMEN_SAMPLEID,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,SPECIMEN,IX_SPECIMEN_SAMPLEID,NONCLUSTERED,1,0,1,3,SAMPLE_ID,0
dbo,SPECIMEN,IX_SPECIMEN_SAMPLEID,NONCLUSTERED,1,0,1,4,SPECIMEN_TOP,0
dbo,SPECIMEN,IX_SPECIMEN_SAMPLEID,NONCLUSTERED,1,0,1,5,SPECIMEN_REFERENCE,0
dbo,SPECIMEN,PK_SPECIMEN,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,SPT,IX_SPT,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,SPT,IX_SPT,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,SPT,IX_SPT,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,SPT,IX_SPT,NONCLUSTERED,1,0,1,4,TOP,0
dbo,SPT,PK_SPT,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,sysdiagrams,PK__sysdiagrams__0519C6AF,CLUSTERED,1,1,0,1,diagram_id,0
dbo,sysdiagrams,UK_principal_name,NONCLUSTERED,1,0,1,1,principal_id,0
dbo,sysdiagrams,UK_principal_name,NONCLUSTERED,1,0,1,2,name,0
dbo,test,IX_test,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,test,IX_test,CLUSTERED,1,0,1,2,VALUE,0
dbo,test,PK_test,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,TRANSACTIONS,IX_TRANSACTIONS,CLUSTERED,1,0,1,1,CLNT_ID,0
dbo,TRANSACTIONS,IX_TRANSACTIONS,CLUSTERED,1,0,1,2,PROJ_ID,0
dbo,TRANSACTIONS,IX_TRANSACTIONS,CLUSTERED,1,0,1,3,VALUE,0
dbo,TRANSACTIONS,PK_TRANSACTIONS,NONCLUSTERED,1,1,0,1,GEO_ID,0
dbo,Vane,IX_Vane,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Vane,IX_Vane,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Vane,IX_Vane,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Vane,IX_Vane,NONCLUSTERED,1,0,1,4,TOP,0
dbo,Vane,IX_Vane,NONCLUSTERED,1,0,1,5,ITEM,0
dbo,Vane,PK_Vane,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Water,IX_Water,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Water,IX_Water,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Water,IX_Water,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Water,IX_Water,NONCLUSTERED,1,0,1,4,DATETIME,0
dbo,Water,PK_Water,CLUSTERED,1,1,0,1,GEO_ID,0
dbo,Weathering,IX_Weathering,NONCLUSTERED,1,0,1,1,CLNT_ID,0
dbo,Weathering,IX_Weathering,NONCLUSTERED,1,0,1,2,PROJ_ID,0
dbo,Weathering,IX_Weathering,NONCLUSTERED,1,0,1,3,POINT_ID,0
dbo,Weathering,IX_Weathering,NONCLUSTERED,1,0,1,4,TOP,0
dbo,Weathering,IX_Weathering,NONCLUSTERED,1,0,1,5,BASE,0
dbo,Weathering,PK_Weathering,CLUSTERED,1,1,0,1,GEO_ID,0
